event_name,demand_status,ai_suggested_price,ticket_velocity
Travis scott concert,Cold,450.0,0
Chambersfort vs South Kevin Championship,Cold,141.01,129
Adaptive fault-tolerant support Summit,Cold,772.79,131
"Edwards, Singleton and Smith Tour",Cold,217.29,122
Visionary methodical support Summit,Cold,365.98,116
"Grant, Wilkinson and Gonzalez Tour",Cold,139.54,124
Synergistic asymmetric alliance Summit,Cold,160.31,77
Shepardbury vs Allisonfort Championship,Cold,252.49,137
South Teresastad vs Lake Tracie Championship,Cold,181.07,122
Kimberly Burton Live Special,Cold,60.33,142
Wilson-Walker Tour,Cold,124.16,132
Hawkins-Thomas Tour,Cold,138.02,116
Mark Guzman Live Special,Cold,42.87,126
Marcus Case Live Special,Cold,35.08,118
Organized local paradigm Summit,Cold,479.48,130
Elizabethberg vs New Vanessa Championship,Cold,261.29,124
Mullen-Hill Tour,Cold,73.4,127
Mrs. Casey Morgan Live Special,Cold,20.56,124
Richard Group Tour,Cold,65.47,132
South Stephanie vs Jessicaville Championship,Cold,60.01,114
Customer-focused bi-directional support Summit,Cold,245.71,119
Lake Christinefurt vs Troyland Championship,Cold,242.71,119
Green Group Tour,Cold,60.44,131
Re-contextualized heuristic throughput Summit,Cold,430.63,121
North Matthew vs Whiteshire Championship,Cold,240.78,131
De-engineered leadingedge migration Summit,Cold,594.34,132
Parrish Inc Tour,Cold,82.91,140
Matthewmouth vs Campbellmouth Championship,Cold,203.61,130
Lauren Johnson Live Special,Cold,33.26,115
Victoriaberg vs Debraburgh Championship,Cold,208.15,125
Dean Jones Live Special,Cold,63.24,123
Kevin Barber Live Special,Cold,67.42,123
Joshua Sanchez Live Special,Cold,52.66,122
Vision-oriented impactful open system Summit,Cold,639.94,135
David Moore Live Special,Cold,54.45,128
Gonzalez and Sons Tour,Cold,188.88,125
Innovative client-driven open system Summit,Cold,643.93,107
Carol Bell Live Special,Cold,44.21,118
Centralized incremental paradigm Summit,Cold,788.62,130
Laurie Ibarra Live Special,Cold,35.8,126
Perezhaven vs North Danielleberg Championship,Cold,227.31,125
Garcia Ltd Tour,Cold,158.43,138
Markmouth vs Leemouth Championship,Cold,139.7,127
Clark Ltd Tour,Cold,42.87,123
Wheelerport vs New Tiffany Championship,Cold,139.1,119
North Justin vs East Michael Championship,Cold,53.57,131
"Walker, Lee and Hansen Tour",Cold,42.03,129
East Heatherborough vs South Dana Championship,Cold,240.72,130
Danny Silva Live Special,Cold,27.52,132
Wanda Jackson Live Special,Cold,23.39,123
Julie Murillo Live Special,Cold,70.88,130
Pre-emptive 5thgeneration circuit Summit,Cold,170.65,129
Configurable homogeneous hardware Summit,Cold,377.4,116
East Daniel vs East Joshuamouth Championship,Cold,200.63,121
Multi-tiered solution-oriented interface Summit,Cold,669.52,121
Extended client-driven monitoring Summit,Cold,248.62,118
New Harold vs Port Andrewview Championship,Cold,202.31,130
Shaw-Orozco Tour,Cold,187.93,136
Intuitive local task-force Summit,Cold,795.73,129
Trevino and Sons Tour,Cold,129.29,114
Fundamental discrete hardware Summit,Cold,422.44,72
Customizable encompassing matrix Summit,Cold,595.42,118
Integrated systematic structure Summit,Cold,446.71,117
Caldwell and Sons Tour,Cold,62.56,126
Port Lori vs Mcgrathhaven Championship,Cold,174.23,130
Johnson Inc Tour,Cold,45.38,37
Howard Inc Tour,Cold,223.64,124
Ashley Flynn Live Special,Cold,62.1,116
Total empowering knowledgebase Summit,Cold,302.17,125
Denise Wang Live Special,Cold,69.32,125
Daniel Johnson Live Special,Cold,32.64,126
Anthony Ford Live Special,Cold,18.86,130
Total asynchronous Graphical User Interface Summit,Cold,368.05,125
Matthew Golden Live Special,Cold,50.65,120
Liuville vs Shannonbury Championship,Cold,76.04,129
Heather Powers Live Special,Cold,36.77,132
Sarahhaven vs Port Shannon Championship,Cold,166.73,123
Billy Jensen Jr. Live Special,Cold,22.63,117
Melissamouth vs South Brianmouth Championship,Cold,264.95,119
Scott Bowen Live Special,Cold,40.8,130
Laurenstad vs Welchview Championship,Cold,217.13,113
Hill PLC Tour,Cold,218.53,127
Assimilated attitude-oriented parallelism Summit,Cold,692.72,126
Concert 34,Cold,45.0,0
Advanced high-level leverage Summit,Cold,441.28,128
Taylor LLC Tour,Cold,41.11,131
Reduced hybrid toolset Summit,Cold,653.87,120
Jonathan Salas Live Special,Cold,44.09,120
"Harvey, Campbell and Sanchez Tour",Cold,91.95,133
Managed optimal moderator Summit,Cold,655.17,117
Christina Coffey Live Special,Cold,20.05,129
Fundamental well-modulated matrices Summit,Cold,247.19,121
Integrated multi-tasking portal Summit,Cold,418.16,105
