event_name,total_budget,staffing_cost,expected_capacity,allocated_staff_count
Travis scott concert,100000.0,100000.0,500,0
Chambersfort vs South Kevin Championship,0.0,0.0,1500,0
Adaptive fault-tolerant support Summit,0.0,0.0,15000,0
"Edwards, Singleton and Smith Tour",0.0,0.0,50000,0
Visionary methodical support Summit,0.0,0.0,5000,0
"Grant, Wilkinson and Gonzalez Tour",0.0,0.0,15000,0
Synergistic asymmetric alliance Summit,0.0,0.0,500,0
Shepardbury vs Allisonfort Championship,0.0,0.0,50000,0
South Teresastad vs Lake Tracie Championship,0.0,0.0,50000,0
Kimberly Burton Live Special,0.0,0.0,5000,0
Wilson-Walker Tour,0.0,0.0,15000,0
Hawkins-Thomas Tour,0.0,0.0,1500,0
Mark Guzman Live Special,0.0,0.0,50000,0
Marcus Case Live Special,0.0,0.0,50000,0
Organized local paradigm Summit,0.0,0.0,5000,0
Elizabethberg vs New Vanessa Championship,0.0,0.0,1500,0
Mullen-Hill Tour,0.0,0.0,5000,0
Mrs. Casey Morgan Live Special,0.0,0.0,1500,0
Richard Group Tour,0.0,0.0,1500,0
South Stephanie vs Jessicaville Championship,0.0,0.0,50000,0
Customer-focused bi-directional support Summit,0.0,0.0,500,0
Lake Christinefurt vs Troyland Championship,0.0,0.0,500,0
Green Group Tour,0.0,0.0,500,0
Re-contextualized heuristic throughput Summit,0.0,0.0,5000,0
North Matthew vs Whiteshire Championship,0.0,0.0,1500,0
De-engineered leadingedge migration Summit,0.0,0.0,1500,0
Parrish Inc Tour,0.0,0.0,5000,0
Matthewmouth vs Campbellmouth Championship,0.0,0.0,15000,0
Lauren Johnson Live Special,0.0,0.0,15000,0
Victoriaberg vs Debraburgh Championship,0.0,0.0,5000,0
Dean Jones Live Special,0.0,0.0,1500,0
Kevin Barber Live Special,0.0,0.0,1500,0
Joshua Sanchez Live Special,0.0,0.0,1500,0
Vision-oriented impactful open system Summit,0.0,0.0,1500,0
David Moore Live Special,0.0,0.0,5000,0
Gonzalez and Sons Tour,0.0,0.0,50000,0
Innovative client-driven open system Summit,0.0,0.0,1500,0
Carol Bell Live Special,0.0,0.0,5000,0
Centralized incremental paradigm Summit,0.0,0.0,1500,0
Laurie Ibarra Live Special,0.0,0.0,500,0
Perezhaven vs North Danielleberg Championship,0.0,0.0,500,0
Garcia Ltd Tour,0.0,0.0,50000,0
Markmouth vs Leemouth Championship,0.0,0.0,50000,0
Clark Ltd Tour,0.0,0.0,50000,0
Wheelerport vs New Tiffany Championship,0.0,0.0,15000,0
North Justin vs East Michael Championship,0.0,0.0,5000,0
"Walker, Lee and Hansen Tour",0.0,0.0,5000,0
East Heatherborough vs South Dana Championship,0.0,0.0,15000,0
Danny Silva Live Special,0.0,0.0,5000,0
Wanda Jackson Live Special,0.0,0.0,1500,0
Julie Murillo Live Special,0.0,0.0,5000,0
Pre-emptive 5thgeneration circuit Summit,0.0,0.0,15000,0
Configurable homogeneous hardware Summit,0.0,0.0,15000,0
East Daniel vs East Joshuamouth Championship,0.0,0.0,15000,0
Multi-tiered solution-oriented interface Summit,0.0,0.0,5000,0
Extended client-driven monitoring Summit,0.0,0.0,15000,0
New Harold vs Port Andrewview Championship,0.0,0.0,500,0
Shaw-Orozco Tour,0.0,0.0,50000,0
Intuitive local task-force Summit,0.0,0.0,1500,0
Trevino and Sons Tour,0.0,0.0,1500,0
Fundamental discrete hardware Summit,0.0,0.0,500,0
Customizable encompassing matrix Summit,0.0,0.0,50000,0
Integrated systematic structure Summit,0.0,0.0,50000,0
Caldwell and Sons Tour,0.0,0.0,500,0
Port Lori vs Mcgrathhaven Championship,0.0,0.0,500,0
Johnson Inc Tour,0.0,0.0,500,0
Howard Inc Tour,0.0,0.0,15000,0
Ashley Flynn Live Special,0.0,0.0,15000,0
Total empowering knowledgebase Summit,0.0,0.0,50000,0
Denise Wang Live Special,0.0,0.0,500,0
Daniel Johnson Live Special,0.0,0.0,15000,0
Anthony Ford Live Special,0.0,0.0,1500,0
Total asynchronous Graphical User Interface Summit,0.0,0.0,50000,0
Matthew Golden Live Special,0.0,0.0,15000,0
Liuville vs Shannonbury Championship,0.0,0.0,15000,0
Heather Powers Live Special,0.0,0.0,1500,0
Sarahhaven vs Port Shannon Championship,0.0,0.0,500,0
Billy Jensen Jr. Live Special,0.0,0.0,1500,0
Melissamouth vs South Brianmouth Championship,0.0,0.0,15000,0
Scott Bowen Live Special,0.0,0.0,5000,0
Laurenstad vs Welchview Championship,0.0,0.0,15000,0
Hill PLC Tour,0.0,0.0,1500,0
Assimilated attitude-oriented parallelism Summit,0.0,0.0,500,0
Concert 34,4000.0,4000.0,500,0
Advanced high-level leverage Summit,0.0,0.0,15000,0
Taylor LLC Tour,0.0,0.0,15000,0
Reduced hybrid toolset Summit,0.0,0.0,5000,0
Jonathan Salas Live Special,0.0,0.0,1500,0
"Harvey, Campbell and Sanchez Tour",0.0,0.0,500,0
Managed optimal moderator Summit,0.0,0.0,5000,0
Christina Coffey Live Special,0.0,0.0,50000,0
Fundamental well-modulated matrices Summit,0.0,0.0,1500,0
Integrated multi-tasking portal Summit,0.0,0.0,15000,0
Arijith singh concert,5999.96,5999.96,500,0
"Martinez, Jones and Morris Tour",0.0,0.0,50000,0
William Pacheco Live Special,0.0,0.0,50000,0
Upgradable leadingedge focus group Summit,0.0,0.0,1500,0
Debbie Hill Live Special,0.0,0.0,500,0
Self-enabling explicit focus group Summit,0.0,0.0,50000,0
Port Rachel vs New Bonnie Championship,0.0,0.0,15000,0
Brennanmouth vs Gonzalezborough Championship,0.0,0.0,5000,0
Brandon Miranda Live Special,0.0,0.0,15000,0
